cluster,880,882,-0.282417,-0.0195578
cluster,1047,1048,-0.0251007,0.00424252
cluster,1061,1062,0,0
cluster,1083,1082,0,0
cluster,1090,1089,0,0
cluster,1118,1119,0,0.000249871
cluster,1144,1145,0,0
cluster,1205,1206,0,0.0101719
cluster,1208,1314,-2.83308,0.138261
cluster,1223,1222,0,-1.30621e-07
cluster,1337,1392,-0.721596,-0.0123643
cluster,1347,1343,0.0261383,0.068289
cluster,1428,1429,0,0
cluster,1777,1776,0.0175476,-0.00965399
cluster,1802,1803,0,0.000113019
cluster,1884,1885,0,0.000445847
cluster,2002,2003,0,0
cluster,2368,2369,0,0.0184266
cluster,2643,2644,0,0.000522514
cluster,2820,2815,0.0602341,0.00689139
cluster,4111,4112,0,0
cluster,4350,4349,0,-1.10345e-05
cluster,4575,4576,0,-2.15886e-06
cluster,4587,4586,0,-0.000952377
cluster,4683,4684,0,0
cluster,4767,4766,0,-0.00162221
cluster,4903,4902,0,0
cluster,4906,4907,-0.00120544,-0.0116477
cluster,4996,4995,0,-0.00115127
cluster,5004,5063,-1.66841,-0.0773742
cluster,5086,5085,0,-1.00636e-06
cluster,5151,5153,-0.0238647,5.35207e-05
cluster,5179,5180,0,-0.00012414
cluster,5279,5280,0,-9.7e-08
cluster,5294,5293,0,-6.20795e-05
cluster,5321,5322,0,-0.00125038
cluster,5370,5355,0.252594,0.0424163
cluster,5431,5426,0.0226135,-0.00991545
cluster,5381,5447,-0.96283,-0.166369
cluster,5512,5511,0,-0.00278664
cluster,5541,5542,0,-0.0513542
cluster,5555,5556,-0.00811768,-0.00226119
cluster,5585,5594,-0.130219,0.115453
cluster,5598,5599,0,-7.08398e-05
cluster,5612,5613,0,8.6229e-05
cluster,5641,5642,0,0.00109518
cluster,5652,5653,0,-0.00883355
cluster,5655,5654,0,0
cluster,5680,5679,0,0.000145605
cluster,5781,5782,0,0.00362954
cluster,5852,5853,0,0
cluster,5903,5902,0,0
cluster,5960,5961,0,0
cluster,5995,5996,0,0
cluster,5997,5998,0,-0.00316944
cluster,6001,6006,-0.00817871,-0.0208207
cluster,6004,6005,0,-0.00037471
cluster,6010,6011,0,0
cluster,6044,6043,0,-0.000623838
cluster,6003,6075,-1.0621,-0.031078
cluster,6115,6116,0,-0.00013772
cluster,6161,6160,0,0.00347436
cluster,6167,6162,0.0387878,0.00284515
cluster,6270,6271,0,0.000118281
cluster,6277,6278,0,0
cluster,6309,6308,0,-0.00249147
cluster,6334,6335,-0.00268555,0.0283364
cluster,6361,6360,0,-2.41194e-07
cluster,6369,6368,0,0
cluster,6376,6377,0,0.00183079
cluster,6379,6380,0,0
cluster,6473,6472,0,-0.00146346
cluster,6618,6605,0.418121,0.0233253
cluster,6699,6700,0,-8.86932e-05
cluster,6710,6709,0,-2.90726e-08
cluster,6742,6744,-0.00299072,-0.00197001
cluster,6823,6824,0,-0.00467459
cluster,6909,6910,0,-6.44999e-07
cluster,6929,6930,0,7.03288e-08
cluster,7069,7070,0,-0.000152868
cluster,7144,7143,0,-0.0348902
cluster,7161,7175,-0.911652,0.0301043
cluster,7207,7205,0.00866699,0.00331453
cluster,7471,7470,0.0214844,0.00255082
outlier,413,276,6.48919,0.334032
outlier,433,362,4.01593,0.854681
outlier,4071,4009,2.75552,0.260593
outlier,6378,6223,2.45312,-0.446781
Processed points number: 63357631
